abderian	given to excessive or incessant laughter
abecedarian	one learning the rudiments of something
aberrant	abnormal
abeyance	temporary inactivity, cessation, or suspension
abiogenesis	spontaneous origination of living organisms directly from lifeless matter
abseil	to rappel
abstemious	marked by restraint especially in the consumption of food or alcohol
abulia	abnormal lack of ability to act or to make decisions
acaronar	to tenderly pull someone close
acataphasia	loss of the power to formulate a statement correctly
acedia	spiritual torpor and apathy; ennui
acescent	slightly sour or turning sour
acumen	keeness and quickness in understanding
adumbrate	to foreshadow vaguely : intimate
aeruginous	having the characteristics of or the color of verdigris (green pigment from the action of acid on copper)
aesculapian	relating to the healing arts; medical
affine	relative by marriage
affluenza	a psychological malaise supposedly affecting wealthy young people, symptoms of which include a lack of motivation, feelings of guilt, and a sense of isolation
agelast	someone who never laughs
aggiornamento	the process of bringing an institution or organization up to date; modernization
agon	between the chief characters in a literary work
ahimsa	the Hindu and Buddhist doctrine of refraining from harming any living being
alacrity	cheerful willingness and promptness
alameda	a public promenade bordered with trees
alastor	avenging demon
albedo	the white, spongy inner lining of a citrus fruit rind
aleatory	dependent on chance, luck, or an uncertain outcome; of or characterized by gambling
alembic	something that refines or transmutes as if by distillation
alopecia	loss of hair, wool, or feathers : baldness
amaranthine	not fading or dying : immortal; being dark reddish purple
amaurosis	partial or total loss of sight
ambsace	the lowest throw of the dice (two single pips); the smallest amount of anything; bad luck
ambulate	to walk
ambuscade	ambush
ameliorate	to make or become better, bearable, or satisfactory
anabasis	a military march up-country (from the coast)
anabiosis	a return to life after death or apparent death
analeptic	restoring; invigorating; giving strength after disease
ananias	an early Christian struck dead for lying;liar
anaphora	repetition of a word in the beginning of successive phrases
anathema	a thing or person that is cursed, banned, or reviled
anchorite	one who lives in seclusion; a hermit
anele	to anoint, especially in giving extreme unction
anent	concerning; about
anfractuous	full of windings and intricate turnings : tortuous
anhedonia	inability to experience pleasure
anicca	cycle of life (birth, growth, death, decay)
anile	of or like an old woman
animadversion	adverse criticism
anodyne	(adj) soothing or relaxing; (n) a medicine that eases pain
anoesis	a state of mind existing in pure sensation without thought
anorak	a person who is extremely interested in something that other people find boring
anthophilous	feeding upon or living among flowers
antiphrasis	use of a word in a sense opposite to its proper meaning
antithalian	opposed to mirth or fun
antitussive	capable of relieving or suppressing coughing
apercu	a first glance or immediate impression -- an estimate, judgment, or understanding that is quickly discerned
aphelion	the point in the path of a celestial body (as a planet) that is farthest from the sun
apheresis	the omission of a letter or syllable at the beginning of a word
apologia	a defense especially of one's opinions, position, or actions
apophasis	the raising of an issue by claiming not to mention it
apoplectic	having a stroke
aposematic	characterized by bright conspicuous markings, which predators recognize and learn to avoid; warning
appellation	an identifying name or title : designation
apposite	highly pertinent or appropriate : apt
apricate	to bask in the sunlight
apricity	warmth of the sun (esp. on a winter's day)
